Legislation Number,URL,Congress,Amends Bill,Title,Sponsor,Date of Introduction,Date Offered,Date Submitted,Date Proposed,Number of Cosponsors,Committees,Latest Action Date,Latest Action
H.R. 7401,https://www.congress.gov/bill/115th-congress/house-bill/7401,115th Congress (2017-2018),,Strengthening Refugee Resettlement Act,"Rep. Ellison, Keith [D-MN-5]",1/2/19,,,,0,"House - Judiciary, Foreign Affairs, Ways and Means",1/2/19,Referred to the Subcommittee on Trade.
H.R. 7400,https://www.congress.gov/bill/115th-congress/house-bill/7400,115th Congress (2017-2018),,Making continuing appropriations for the Coast Guard.,"Rep. Wild, Susan [D-PA-15]",1/2/19,,,,0,House - Appropriations,1/2/19,Referred to the House Committee on Appropriations.
H.R. 7399,https://www.congress.gov/bill/115th-congress/house-bill/7399,115th Congress (2017-2018),,Inaugural Fund Integrity Act,"Rep. Scanlon, Mary Gay [D-PA-7]",12/27/18,,,,0,"House - House Administration, Oversight and Government Reform",12/27/18,"Referred to the Committee on House Administration, and in addition to the Committee on Oversight and Government Reform, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H.R. 7398,https://www.congress.gov/bill/115th-congress/house-bill/7398,115th Congress (2017-2018),,SPA Act,"Rep. Foster, Bill [D-IL-11]",12/22/18,,,,0,House - House Administration,12/22/18,Referred to the House Committee on House Administration.
H.R. 7397,https://www.congress.gov/bill/115th-congress/house-bill/7397,115th Congress (2017-2018),,"To provide further additional continuing appropriations for fiscal year 2019, and for other purposes.","Rep. Hoyer, Steny H. [D-MD-5]",12/22/18,,,,0,"House - Appropriations, Budget",12/22/18,"Referred to the Committee on Appropriations, and in addition to the Committee on the Budget, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H.R. 7396,https://www.congress.gov/bill/115th-congress/house-bill/7396,115th Congress (2017-2018),,Border Security and Child Safety Act,"Rep. Torres, Norma J. [D-CA-35]",12/21/18,,,,2,"House - Judiciary, Homeland Security",12/21/18,"Referred to the Committee on the Judiciary, and in addition to the Committee on Homeland Security, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H.R. 7395,https://www.congress.gov/bill/115th-congress/house-bill/7395,115th Congress (2017-2018),,"To direct the Secretary of Health and Human Services to allow delivery of medical supplies by unmanned aerial systems, and for other purposes.","Rep. Meadows, Mark [R-NC-11]",12/21/18,,,,0,"House - Transportation and Infrastructure, Energy and Commerce, Ways and Means, Natural Resources",12/24/18,Referred to the Subcommittee on Aviation.
H.R. 7394,https://www.congress.gov/bill/115th-congress/house-bill/7394,115th Congress (2017-2018),,"To prohibit the Federal financial regulators from requiring compliance with the accounting standards update of the Financial Accounting Standards Board related to current expected credit loss (""CECL""), to require the Securities and Exchange Commission to take certain impacts of a proposed accounting principle into consideration before accepting the principle, and for other purposes.","Rep. Luetkemeyer, Blaine [R-MO-3]",12/21/18,,,,1,"House - Financial Services, Agriculture",12/21/18,"Referred to the Committee on Financial Services, and in addition to the Committee on Agriculture, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H.R. 7393,https://www.congress.gov/bill/115th-congress/house-bill/7393,115th Congress (2017-2018),,Medicaid Quality Care Act,"Rep. Faso, John J. [R-NY-19]",12/21/18,,,,0,House - Energy and Commerce,12/21/18,Referred to the House Committee on Energy and Commerce.
H.R. 7392,https://www.congress.gov/bill/115th-congress/house-bill/7392,115th Congress (2017-2018),,TRACED Act,"Rep. Babin, Brian [R-TX-36]",12/21/18,,,,0,House - Energy and Commerce,12/21/18,Referred to the House Committee on Energy and Commerce.
